id,menu
1701446020-265,mie gacoan lv 0
1701446020-265,siomay
1701446020-266,mie gacoan lv 8
1701446020-266,teh
1701446020-267,mie hompimpa lv 3
1701446020-267,udang keju
1701446020-267,lumpia udang
1701446020-267,siomay
1701446020-268,mie gacoan lv 1
1701446020-268,mie gacoan lv 4
1701446020-268,mie gacoan lv 0
1701446020-269,mie gacoan lv 2
1701446020-269,siomay
1701446020-270,mie gacoan lv 0
1701446020-270,mie gacoan lv 1
1701446020-270,siomay
1701446020-271,mie gacoan lv 1
1701446020-271,udang keju
1701446020-271,mie gacoan lv 2
1701446020-272,mie gacoan lv 2
1701446020-272,siomay
1701446020-272,mie gacoan lv 3
1701446020-272,mie gacoan lv 4
1701446020-273,udang keju
1701446020-273,mie hompimpa lv 4
1701446020-274,mie gacoan lv 0
1701446020-274,mie gacoan lv 2
1701446020-274,udang keju
1701446020-275,mie gacoan lv 3
1701446020-275,udang keju
1701446020-276,mie gacoan lv 0
1701446020-276,mie gacoan lv 2
1701446020-277,siomay
1701446020-277,udang rambutan
1701446020-277,udang keju
1701446020-277,lemon tea
1701446020-278,mie gacoan lv 1
1701446020-278,lumpia udang
1701446020-278,udang keju
1701446020-278,siomay
1701446020-278,mie suit
1701446020-279,mie suit
1701446020-279,lumpia udang
1701446020-279,es gobak sodor
1701446020-279,teh
1701446020-279,mie hompimpa lv 1
1701446020-280,mie gacoan lv 2
1701446020-280,udang keju
1701446020-280,mie gacoan lv 0
1701446020-280,udang rambutan
1701446020-281,mie gacoan lv 0
1701446020-281,teh
1701446020-282,mie gacoan lv 1
1701446020-282,mie gacoan lv 2
1701446020-282,siomay
1701446020-282,udang rambutan
1701446020-282,udang keju
1701446020-283,mie hompimpa lv 2
1701446020-283,udang rambutan
1701446020-284,udang rambutan
1701446020-284,lumpia udang
1701446020-284,siomay
1701446020-284,mie gacoan lv 2
1701446020-285,mie hompimpa lv 3
1701446020-285,mie gacoan lv 1
1701446020-286,mie gacoan lv 1
1701446020-286,udang rambutan
1701446020-286,udang keju
1701446020-287,mie gacoan lv 1
1701446020-288,mie gacoan lv 2
1701446020-288,air mineral
1701446020-288,udang rambutan
1701446020-288,udang keju
1701446020-288,siomay
1701446020-289,mie hompimpa lv 1
1701446020-289,mie suit
1701446020-290,mie gacoan lv 6
1701446020-291,paket hompimpa a
1701446020-292,mie gacoan lv 1
1701446020-292,es gobak sodor
1701446020-292,siomay
1701446020-293,mie hompimpa lv 2
1701446020-293,mie gacoan lv 2
1701446020-293,udang keju
1701446020-294,mie gacoan lv 1
1701446020-295,mie gacoan lv 2
1701446020-295,mie gacoan lv 1
1701446020-295,pangsit
1701446020-295,teh
1701446020-296,mie gacoan lv 0
1701446020-296,udang rambutan
1701446020-297,mie gacoan lv 6
1701446020-298,mie gacoan lv 2
1701446020-298,siomay
1701446020-299,mie gacoan lv 1
1701446020-299,mie suit
1701446020-299,siomay
1701446020-299,mie hompimpa lv 1
1701446020-299,mie gacoan lv 0
1701446020-300,mie gacoan lv 1
1701446020-300,mie gacoan lv 0
1701446020-300,mie gacoan lv 3
1701446020-300,es petak umpet
1701446020-300,udang rambutan
1701446020-300,udang keju
1701446020-300,teh
1701446020-300,vanilla latte
1701446020-300,lumpia udang
1701446020-301,mie gacoan lv 1
1701446020-301,mie gacoan lv 3
1701446020-301,udang rambutan
1701446020-301,udang keju
1701446020-301,mie gacoan lv 0
1701446020-302,mie hompimpa lv 1
1701446020-302,udang keju
1701446020-302,pangsit
1701446020-303,mie gacoan lv 1
1701446020-303,lumpia udang
1701446020-303,udang rambutan
1701446020-303,mie gacoan lv 2
1701446020-303,udang keju
1701446020-303,pangsit
1701446020-304,mie hompimpa lv 3
1701446020-304,es gobak sodor
1701446020-305,siomay
1701446020-305,mie gacoan lv 4
1701446020-305,udang keju
1701446020-306,mie gacoan lv 8
1701446020-306,mie gacoan lv 6
1701446020-306,teh
1701446020-306,lumpia udang
1701446020-306,udang keju
1701446020-306,udang rambutan
1701446020-306,siomay
1701446020-307,mie gacoan lv 0
1701446020-307,udang rambutan
1701446020-307,udang keju
1701446020-307,mie suit
1701446020-308,mie gacoan lv 0
1701446020-308,mie gacoan lv 1
